Date : 9/6/2019	Time : 20:34:20	
C:\UVWINLAB\DNA141U1.SP	
23.00	0.6509
23.20	0.6509
23.40	0.6509
23.60	0.6509
23.80	0.6509
24.00	0.6510
24.20	0.6508
24.40	0.6507
24.60	0.6508
24.80	0.6509
25.00	0.6510
25.20	0.6510
25.40	0.6509
25.60	0.6511
25.80	0.6511
26.00	0.6510
26.20	0.6510
26.40	0.6509
26.60	0.6510
26.80	0.6510
27.00	0.6511
27.20	0.6510
27.40	0.6510
27.60	0.6510
27.80	0.6511
28.00	0.6511
28.20	0.6511
28.40	0.6512
28.60	0.6512
28.80	0.6511
29.00	0.6512
29.20	0.6511
29.40	0.6511
29.60	0.6513
29.80	0.6512
30.00	0.6511
30.20	0.6514
30.40	0.6513
30.60	0.6515
30.80	0.6515
31.00	0.6513
31.20	0.6515
31.40	0.6512
31.60	0.6514
31.80	0.6516
32.00	0.6515
32.20	0.6515
32.50	0.6515
32.70	0.6516
33.00	0.6517
33.20	0.6514
33.50	0.6517
33.70	0.6518
34.00	0.6518
34.20	0.6518
34.50	0.6519
34.70	0.6519
35.00	0.6520
35.20	0.6521
35.50	0.6521
35.70	0.6521
36.00	0.6522
36.20	0.6522
36.50	0.6525
36.70	0.6525
37.00	0.6524
37.20	0.6524
37.50	0.6527
37.70	0.6526
38.00	0.6527
38.20	0.6529
38.50	0.6531
38.70	0.6531
39.00	0.6533
39.20	0.6533
39.50	0.6535
39.70	0.6533
40.00	0.6536
40.20	0.6537
40.50	0.6539
40.70	0.6540
41.00	0.6543
41.20	0.6542
41.50	0.6545
41.70	0.6545
42.00	0.6547
42.20	0.6549
42.50	0.6549
42.70	0.6549
43.00	0.6554
43.20	0.6554
43.50	0.6557
43.70	0.6557
44.00	0.6560
44.20	0.6564
44.50	0.6565
44.70	0.6568
45.00	0.6569
45.20	0.6572
45.50	0.6575
45.70	0.6575
46.00	0.6580
46.20	0.6581
46.50	0.6586
46.70	0.6589
47.00	0.6592
47.20	0.6595
47.50	0.6598
47.70	0.6598
48.00	0.6606
48.20	0.6608
48.50	0.6613
48.70	0.6617
49.00	0.6624
49.20	0.6624
49.50	0.6631
49.70	0.6631
50.00	0.6639
50.20	0.6643
50.50	0.6651
50.70	0.6655
51.00	0.6663
51.20	0.6666
51.50	0.6674
51.70	0.6674
52.00	0.6689
52.20	0.6691
52.50	0.6700
52.70	0.6707
