Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.13,0.04
kexAB (s^-1),1941,59
R1 (s^-1),2.04,0.09
R2 (s^-1),14.57,0.18
Red. Chi-sq,0.23
