Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),2.58,0.01
kexAB (s^-1),1210,12
R1 (s^-1),4.90,0.03
R2 (s^-1),11.88,0.05
Red. Chi-sq,0.24
