Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.020,0.020
dwB (ppm),7.08,32.36
kexAB (s^-1),4466,47949
R1 (s^-1),4.29,1.37
R2 (s^-1),37.52,3.65
Red. Chi-sq,9.11
