Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.020,0.020
dwB (ppm),7.34,26.49
kexAB (s^-1),4466,47949
R1 (s^-1),5.45,1.20
R2 (s^-1),32.05,3.32
Red. Chi-sq,9.11
