Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.14,0.08
kexAB (s^-1),2027,183
R1 (s^-1),2.26,0.08
R2 (s^-1),26.57,0.19
Red. Chi-sq,0.34
