Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.25,0.11
kexAB (s^-1),4895,619
R1 (s^-1),4.09,0.11
R2 (s^-1),17.31,0.75
Red. Chi-sq,5.61
