Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),1.31,0.10
kexAB (s^-1),4895,619
R1 (s^-1),3.55,0.13
R2 (s^-1),10.72,0.78
Red. Chi-sq,5.61
