Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),4.09,0.20
kexAB (s^-1),531,26
R1 (s^-1),1.57,0.14
R2 (s^-1),31.45,0.17
Red. Chi-sq,0.58
