Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),4.00,0.13
kexAB (s^-1),531,26
R1 (s^-1),1.38,0.10
R2 (s^-1),21.98,0.14
Red. Chi-sq,0.58
