Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.61,0.10
kexAB (s^-1),1413,72
R1 (s^-1),1.35,0.07
R2 (s^-1),18.00,0.12
Red. Chi-sq,0.24
