Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.09,0.09
kexAB (s^-1),1413,72
R1 (s^-1),1.66,0.07
R2 (s^-1),27.34,0.13
Red. Chi-sq,0.24
