Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.30,0.25
kexAB (s^-1),1020,79
R1 (s^-1),2.10,0.03
R2 (s^-1),14.06,0.06
Red. Chi-sq,0.24
