Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),3.11,0.04
kexAB (s^-1),3004,112
R1 (s^-1),1.48,0.07
R2 (s^-1),18.02,0.16
Red. Chi-sq,0.12
