Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.02,0.11
kexAB (s^-1),258,9
R1 (s^-1),0.38,0.14
R2 (s^-1),22.26,0.18
Red. Chi-sq,0.47
