Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.061,0.004
dwB (ppm),4.27,4.27
kexAB (s^-1),2441,422
R1 (s^-1),2.48,0.04
R2 (s^-1),20.07,0.08
Red. Chi-sq,0.23
