Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.061,0.004
dwB (ppm),4.39,0.36
kexAB (s^-1),2441,422
R1 (s^-1),2.17,0.03
R2 (s^-1),13.93,0.08
Red. Chi-sq,0.23
