Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),3.14,0.03
kexAB (s^-1),1824,52
R1 (s^-1),1.97,0.06
R2 (s^-1),20.90,0.10
Red. Chi-sq,0.13
