Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.071,0.019
dwB (ppm),4.27,4.27
kexAB (s^-1),6571,1566
R1 (s^-1),2.68,0.04
R2 (s^-1),16.02,0.22
Red. Chi-sq,0.25
