Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.586,0.058
dwB (ppm),2.68,0.14
kexAB (s^-1),3185,240
R1 (s^-1),2.97,0.07
R2 (s^-1),24.63,0.23
Red. Chi-sq,0.22
