offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-0.000000000000000000e+00,1.000000000000000000e+02,-1.782257891762995314e+03,-1.782257891762995314e+03,-1.781551115048548809e+03,-1.353846868513309687e+01,-1.353846868513309687e+01,-2.405616405519343104e+01,-2.299941486109719335e+01,-1.300029256945131806e+01,-1.300029256945131806e+01
-0.000000000000000000e+00,1.693877551020408134e+02,-1.780424629033713245e+03,-1.780424629033713245e+03,-1.785460724680716112e+03,-1.347993253766529165e+01,-1.347993253766529165e+01,-2.393015217652172311e+01,-2.299979605962440843e+01,-1.300010197018784197e+01,-1.300010197018784197e+01
-0.000000000000000000e+00,2.387755102040816269e+02,-1.779770922064757769e+03,-1.779770922064757769e+03,-1.787023423634171195e+03,-1.341579742499249051e+01,-1.341579742499249051e+01,-2.380313738632834131e+01,-2.299989736632637616e+01,-1.300005131683695936e+01,-1.300005131683695936e+01
-0.000000000000000000e+00,3.081632653061224119e+02,-1.779495889527973304e+03,-1.779495889527973304e+03,-1.787792052317043954e+03,-1.336000707300742363e+01,-1.336000707300742363e+01,-2.369615448099468935e+01,-2.299993838185877593e+01,-1.300003080907055164e+01,-1.300003080907055164e+01
-0.000000000000000000e+00,3.775510204081631969e+02,-2.361278044892060279e+01,-1.788228865453167373e+03,-1.779363181674450971e+03,-1.779363181674450971e+03,-1.331599537450335902e+01,-1.331599537450335902e+01,-2.299995894940313690e+01,-1.300002052529850971e+01,-1.300002052529850971e+01
-0.000000000000000000e+00,4.469387755102040956e+02,-1.779291950342865221e+03,-1.779291950342865221e+03,-1.788501480789036123e+03,-1.328250027777960440e+01,-1.328250027777960440e+01,-2.354961796968041554e+01,-2.299997070625076034e+01,-1.300001464687477437e+01,-1.300001464687477437e+01
-0.000000000000000000e+00,5.163265306122448237e+02,-1.325719194917985533e+01,-1.325719194917985533e+01,-1.788682957715139537e+03,-1.779250344529462382e+03,-1.779250344529462382e+03,-2.350196932758076329e+01,-2.299997805061727973e+01,-1.300001097469112210e+01,-1.300001097469112210e+01
-0.000000000000000000e+00,5.857142857142856656e+02,-1.323795644406311567e+01,-1.323795644406311567e+01,-1.788809658128688852e+03,-1.779224330265806657e+03,-1.779224330265806657e+03,-2.346576845157360935e+01,-2.299998294311716052e+01,-1.300000852844152632e+01,-1.300000852844152632e+01
-0.000000000000000000e+00,6.551020408163265074e+02,-1.322316696302988248e+01,-1.322316696302988248e+01,-1.779207137834526065e+03,-1.779207137834526065e+03,-1.788901457809951580e+03,-2.343793259493536496e+01,-2.299998636505278427e+01,-1.300000681747326325e+01,-1.300000681747326325e+01
-0.000000000000000000e+00,7.244897959183672356e+02,-1.788969993553011591e+03,-1.779195246821240744e+03,-1.779195246821240744e+03,-2.341623216141158181e+01,-1.321164032154871393e+01,-1.321164032154871393e+01,-2.299998885174538543e+01,-1.300000557412727176e+01,-1.300000557412727176e+01
-0.000000000000000000e+00,7.938775510204081911e+02,-1.789022447762448792e+03,-1.779186706872941159e+03,-1.779186706872941159e+03,-2.339907688834107091e+01,-1.320253080166128257e+01,-1.320253080166128257e+01,-2.299999071537385475e+01,-1.300000464231288788e+01,-1.300000464231288788e+01
-0.000000000000000000e+00,8.632653061224489193e+02,-1.319523415262892740e+01,-1.319523415262892740e+01,-1.779180377659156420e+03,-1.779180377659156420e+03,-1.789063445015697425e+03,-2.338533136073213115e+01,-2.299999214795247937e+01,-1.300000392602350985e+01,-1.300000392602350985e+01
-0.000000000000000000e+00,9.326530612244896474e+02,-1.318931543106941717e+01,-1.318931543106941717e+01,-1.779175560935500926e+03,-1.779175560935500926e+03,-1.789096068907649169e+03,-2.337417835921269926e+01,-2.299999327284754358e+01,-1.300000336357561537e+01,-1.300000336357561537e+01
-0.000000000000000000e+00,1.002040816326530603e+03,-1.318445809542299685e+01,-1.318445809542299685e+01,-1.779171811772228921e+03,-1.779171811772228921e+03,-1.789122437256324474e+03,-2.336502300837092960e+01,-2.299999417225281917e+01,-1.300000291387368634e+01,-1.300000291387368634e+01
-0.000000000000000000e+00,1.071428571428571331e+03,-1.318042888166735338e+01,-1.318042888166735338e+01,-1.779168836676538376e+03,-1.779168836676538376e+03,-1.789144042088100377e+03,-2.335742679549041867e+01,-2.299999490264239910e+01,-1.300000254867859439e+01,-1.300000254867859439e+01
-0.000000000000000000e+00,1.140816326530612287e+03,-1.317705367160192509e+01,-1.317705367160192509e+01,-1.779166436114670887e+03,-1.779166436114670887e+03,-1.789161958148229814e+03,-2.335106227922333488e+01,-2.299999550385710734e+01,-1.300000224807126870e+01,-1.300000224807126870e+01
-0.000000000000000000e+00,1.210204081632653015e+03,-1.317420084210695563e+01,-1.317420084210695563e+01,-1.779164470788590734e+03,-1.779164470788590734e+03,-1.789176974893574425e+03,-2.334568184503311628e+01,-2.299999600465413963e+01,-1.300000199767305276e+01,-1.300000199767305276e+01
-0.000000000000000000e+00,1.279591836734693743e+03,-1.789189682385625247e+03,-1.779162841150916620e+03,-1.779162841150916620e+03,-2.334109595812124738e+01,-1.317176967720968150e+01,-1.317176967720968150e+01,-2.299999642621309803e+01,-1.300000178689356289e+01,-1.300000178689356289e+01
-0.000000000000000000e+00,1.348979591836734699e+03,-1.316968221728825483e+01,-1.316968221728825483e+01,-1.779161474570558312e+03,-1.779161474570558312e+03,-1.789200528561904321e+03,-2.333715786240346191e+01,-2.299999678440879336e+01,-1.300000160779609359e+01,-1.300000160779609359e+01
-0.000000000000000000e+00,1.418367346938775199e+03,-1.316787745927558717e+01,-1.316787745927558717e+01,-1.779160317066155130e+03,-1.779160317066155130e+03,-1.789209858259998100e+03,-2.333375268914025114e+01,-2.299999709133193093e+01,-1.300000145433477883e+01,-1.300000145433477883e+01
-0.000000000000000000e+00,1.487755102040816382e+03,-1.316630718093188079e+01,-1.316630718093188079e+01,-1.779159327847627537e+03,-1.779159327847627537e+03,-1.789217940330460578e+03,-2.333078961241638893e+01,-2.299999735632077957e+01,-1.300000132183868118e+01,-1.300000132183868118e+01
-0.000000000000000000e+00,1.557142857142857110e+03,-1.316493289918162191e+01,-1.316493289918162191e+01,-1.779158475630286375e+03,-1.779158475630286375e+03,-1.789224986808078711e+03,-2.332819613298649841e+01,-2.299999758668102956e+01,-1.300000120665981740e+01,-1.300000120665981740e+01
-0.000000000000000000e+00,1.626530612244898066e+03,-1.779157736094860638e+03,-1.779157736094860638e+03,-1.789231166685775861e+03,-2.332591386577481885e+01,-1.316372362936454721e+01,-1.316372362936454721e+01,-2.299999778819328711e+01,-1.300000110590417535e+01,-1.300000110590417535e+01
-0.000000000000000000e+00,1.695918367346938794e+03,-1.316265421648949996e+01,-1.316265421648949996e+01,-1.779157090104700728e+03,-1.779157090104700728e+03,-1.789236615955898515e+03,-2.332389540172682629e+01,-2.299999796548126696e+01,-1.300000101726027424e+01,-1.300000101726027424e+01
-0.000000000000000000e+00,1.765306122448979522e+03,-1.316170407962272293e+01,-1.316170407962272293e+01,-1.779156522433127066e+03,-1.779156522433127066e+03,-1.789241445028747876e+03,-2.332210194575427664e+01,-2.299999812227681417e+01,-1.300000093886183095e+01,-1.300000093886183095e+01
-0.000000000000000000e+00,1.834693877551020478e+03,-1.316085625772302592e+01,-1.316085625772302592e+01,-1.779156020841064219e+03,-1.779156020841064219e+03,-1.789245744281075758e+03,-2.332050152135090926e+01,-2.299999826162139982e+01,-1.300000086918998932e+01,-1.300000086918998932e+01
-0.000000000000000000e+00,1.904081632653061206e+03,-1.316009667786124737e+01,-1.316009667786124737e+01,-1.779155575398880501e+03,-1.779155575398880501e+03,-1.789249588253304410e+03,-2.331906759320640532e+01,-2.299999838601113566e+01,-1.300000080699464888e+01,-1.300000080699464888e+01
-0.000000000000000000e+00,1.973469387755101934e+03,-1.315941358894269797e+01,-1.315941358894269797e+01,-1.779155177981465840e+03,-1.779155177981465840e+03,-1.789253038857982119e+03,-2.331777800119570898e+01,-2.299999849751260328e+01,-1.300000075124353316e+01,-1.300000075124353316e+01
-0.000000000000000000e+00,2.042857142857142662e+03,-1.315879711996126389e+01,-1.315879711996126389e+01,-1.779154821887589151e+03,-1.779154821887589151e+03,-1.789256147856427788e+03,-2.331661412847543957e+01,-2.299999859784631795e+01,-1.300000070107762440e+01,-1.300000070107762440e+01
-0.000000000000000000e+00,2.112244897959183618e+03,-1.315823893255105759e+01,-1.315823893255105759e+01,-1.779154501549897304e+03,-1.779154501549897304e+03,-1.789258958787942220e+03,-2.331556024715104769e+01,-2.299999868845522144e+01,-1.300000065577069108e+01,-1.300000065577069108e+01
-0.000000000000000000e+00,2.181632653061224573e+03,-1.789261508485260947e+03,-1.779154212311677838e+03,-1.779154212311677838e+03,-2.331460299981076645e+01,-1.315773194578650873e+01,-1.315773194578650873e+01,-2.299999877055709163e+01,-1.300000061472064772e+01,-1.300000061472064772e+01
-0.000000000000000000e+00,2.251020408163265074e+03,-1.315727011654507805e+01,-1.315727011654507805e+01,-1.779153950253271432e+03,-1.779153950253271432e+03,-1.789263828274577008e+03,-2.331373098579383552e+01,-2.299999884518433646e+01,-1.300000057740635384e+01,-1.300000057740635384e+01
-0.000000000000000000e+00,2.320408163265306030e+03,-1.789265944932743650e+03,-1.779153712056029235e+03,-1.779153712056029235e+03,-2.331293442884970446e+01,-1.315684826317647094e+01,-1.315684826317647094e+01,-2.299999891321689915e+01,-1.300000054339125199e+01,-1.300000054339125199e+01
-0.000000000000000000e+00,2.389795918367346985e+03,-1.315646192295378114e+01,-1.315646192295378114e+01,-1.779153494894690539e+03,-1.779153494894690539e+03,-1.789267881456207988e+03,-2.331220490849674576e+01,-2.299999897541028915e+01,-1.300000051229380915e+01,-1.300000051229380915e+01
-0.000000000000000000e+00,2.459183673469387486e+03,-1.789269657682727939e+03,-1.779153296351694507e+03,-1.779153296351694507e+03,-2.331153514155532136e+01,-1.315610723616555333e+01,-1.315610723616555333e+01,-2.299999903241361210e+01,-1.300000048379251893e+01,-1.300000048379251893e+01
-0.000000000000000000e+00,2.528571428571428442e+03,-1.315578085133199693e+01,-1.315578085133199693e+01,-1.779153114348328927e+03,-1.779153114348328927e+03,-1.789271290797183838e+03,-2.331091880349452694e+01,-2.299999908478899968e+01,-1.300000045760725698e+01,-1.300000045760725698e+01
-0.000000000000000000e+00,2.597959183673469397e+03,-1.315547984732020836e+01,-1.315547984732020836e+01,-1.779152947089146437e+03,-1.779152947089146437e+03,-1.789272795745517897e+03,-2.331035038153960315e+01,-2.299999913302411159e+01,-1.300000043348654799e+01,-1.300000043348654799e+01
-0.000000000000000000e+00,2.667346938775509898e+03,-1.315520166893253418e+01,-1.315520166893253418e+01,-1.779152793016769010e+03,-1.779152793016769010e+03,-1.789274185575333377e+03,-2.330982505326853627e+01,-2.299999917754399092e+01,-1.300000041122484618e+01,-1.300000041122484618e+01
-0.000000000000000000e+00,2.736734693877550853e+03,-1.315494407346130856e+01,-1.315494407346130856e+01,-1.779152650774817175e+03,-1.779152650774817175e+03,-1.789275471717628761e+03,-2.330933858580799267e+01,-2.299999921872078801e+01,-1.300000039063775148e+01,-1.300000039063775148e+01
-0.000000000000000000e+00,2.806122448979591809e+03,-1.779152519177568593e+03,-1.779152519177568593e+03,-1.789276664220984685e+03,-2.330888725171151066e+01,-1.315470508607836564e+01,-1.315470508607836564e+01,-2.299999925688066327e+01,-1.300000037155768950e+01,-1.300000037155768950e+01
-0.000000000000000000e+00,2.875510204081632764e+03,-1.315448296248041515e+01,-1.315448296248041515e+01,-1.779152397184675920e+03,-1.779152397184675920e+03,-1.789277771947202154e+03,-2.330846775848351271e+01,-2.299999929231209350e+01,-1.300000035384209696e+01,-1.300000035384209696e+01
-0.000000000000000000e+00,2.944897959183673265e+03,-1.315427615741191403e+01,-1.315427615741191403e+01,-1.779152283880277309e+03,-1.779152283880277309e+03,-1.789278802735370391e+03,-2.330807718926043393e+01,-2.299999932526809943e+01,-1.300000033736523619e+01,-1.300000033736523619e+01
-0.000000000000000000e+00,3.014285714285714221e+03,-1.315408329812157717e+01,-1.315408329812157717e+01,-1.779152178455465219e+03,-1.779152178455465219e+03,-1.789279763540136173e+03,-2.330771295268782239e+01,-2.299999935597480416e+01,-1.300000032201410249e+01,-1.300000032201410249e+01
-0.000000000000000000e+00,3.083673469387755176e+03,-1.315390316181492381e+01,-1.315390316181492381e+01,-1.779152080193643087e+03,-1.779152080193643087e+03,-1.789280660548658489e+03,-2.330737274041794294e+01,-2.299999938463194837e+01,-1.300000030768478609e+01,-1.300000030768478609e+01
-0.000000000000000000e+00,3.153061224489795677e+03,-1.315373465649963691e+01,-1.315373465649963691e+01,-1.779151988458078449e+03,-1.779151988458078449e+03,-1.789281499279942864e+03,-2.330705449091156467e+01,-2.299999941141826909e+01,-1.300000029429111237e+01,-1.300000029429111237e+01
-0.000000000000000000e+00,3.222448979591836633e+03,-1.315357680453962530e+01,-1.315357680453962530e+01,-1.779151902681464435e+03,-1.779151902681464435e+03,-1.789282284669473938e+03,-2.330675635852591654e+01,-2.299999943649275380e+01,-1.300000028175600164e+01,-1.300000028175600164e+01
-0.000000000000000000e+00,3.291836734693877588e+03,-1.315342872864812307e+01,-1.315342872864812307e+01,-1.779151822357011952e+03,-1.779151822357011952e+03,-1.789283021141665131e+03,-2.330647668700656894e+01,-2.299999945999809015e+01,-1.300000027000169212e+01,-1.300000027000169212e+01
-0.000000000000000000e+00,3.361224489795918089e+03,-1.315328963982028654e+01,-1.315328963982028654e+01,-1.779151747030831757e+03,-1.779151747030831757e+03,-1.789283712672003958e+03,-2.330621398669387290e+01,-2.299999948206341926e+01,-1.300000025896952138e+01,-1.300000025896952138e+01
-0.000000000000000000e+00,3.430612244897959044e+03,-1.315315882688901183e+01,-1.315315882688901183e+01,-1.779151676295416109e+03,-1.779151676295416109e+03,-1.789284362840553740e+03,-2.330596691486108085e+01,-2.299999950280327710e+01,-1.300000024859627956e+01,-1.300000024859627956e+01
