offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,2.405354746055295934e+01,0.000000000000000000e+00,2.405354746055295934e+01,0.000000000000000000e+00,1.000176795552039755e+00
0.000000000000000000e+00,1.693877551020408134e+02,2.392889627130994157e+01,0.000000000000000000e+00,2.392889627130994157e+01,0.000000000000000000e+00,1.000085810501902150e+00
0.000000000000000000e+00,2.387755102040816269e+02,2.380286630443285034e+01,0.000000000000000000e+00,2.380286630443285034e+01,0.000000000000000000e+00,1.000018781800852574e+00
0.000000000000000000e+00,3.081632653061224119e+02,2.369641735860394149e+01,0.000000000000000000e+00,2.369641735860394149e+01,0.000000000000000000e+00,9.999816217354410286e-01
0.000000000000000000e+00,3.775510204081632537e+02,2.361327720356845461e+01,0.000000000000000000e+00,2.361327720356845461e+01,0.000000000000000000e+00,9.999650182880707172e-01
0.000000000000000000e+00,4.469387755102040956e+02,2.355018743487252308e+01,0.000000000000000000e+00,2.355018743487252308e+01,0.000000000000000000e+00,9.999596739684963875e-01
0.000000000000000000e+00,5.163265306122448237e+02,2.350253457584189931e+01,0.000000000000000000e+00,2.350253457584189931e+01,0.000000000000000000e+00,9.999597685420525961e-01
0.000000000000000000e+00,5.857142857142856656e+02,2.346629732174655558e+01,0.000000000000000000e+00,2.346629732174655558e+01,0.000000000000000000e+00,9.999622407010141378e-01
0.000000000000000000e+00,6.551020408163265074e+02,2.343841394922390364e+01,0.000000000000000000e+00,2.343841394922390364e+01,0.000000000000000000e+00,9.999655425513674922e-01
0.000000000000000000e+00,7.244897959183673493e+02,2.341666472568964963e+01,0.000000000000000000e+00,2.341666472568964963e+01,0.000000000000000000e+00,9.999689610911206561e-01
0.000000000000000000e+00,7.938775510204081911e+02,2.339946383439611566e+01,0.000000000000000000e+00,2.339946383439611566e+01,0.000000000000000000e+00,9.999721982681668564e-01
0.000000000000000000e+00,8.632653061224489193e+02,2.338567709654553539e+01,0.000000000000000000e+00,2.338567709654553539e+01,0.000000000000000000e+00,9.999751234794510557e-01
0.000000000000000000e+00,9.326530612244897611e+02,2.337448767142954509e+01,0.000000000000000000e+00,2.337448767142954509e+01,0.000000000000000000e+00,9.999777164325023282e-01
0.000000000000000000e+00,1.002040816326530603e+03,2.336530051594943913e+01,0.000000000000000000e+00,2.336530051594943913e+01,0.000000000000000000e+00,9.999799965676204883e-01
0.000000000000000000e+00,1.071428571428571331e+03,2.335767647876122055e+01,0.000000000000000000e+00,2.335767647876122055e+01,0.000000000000000000e+00,9.999819853165565764e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.335128772346186210e+01,0.000000000000000000e+00,2.335128772346186210e+01,0.000000000000000000e+00,9.999837231040019647e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.334588616809132589e+01,0.000000000000000000e+00,2.334588616809132589e+01,0.000000000000000000e+00,9.999852445235707377e-01
