Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.52,0.68
kexAB (s^-1),3529,1236
R1 (s^-1),1.82,1.48
R2 (s^-1),34.34,3.17
Red. Chi-sq,9.83
