Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.53,0.11
kexAB (s^-1),57,5
R1 (s^-1),1.37,0.06
R2 (s^-1),30.46,0.08
Red. Chi-sq,0.81
