Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.37,0.10
kexAB (s^-1),57,5
R1 (s^-1),1.27,0.04
R2 (s^-1),21.21,0.05
Red. Chi-sq,0.81
