Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-100.0,200.0,22.2499267264,1.35067444136,27.3295063397,1.6883430517,22.1401658659,27.1923052641,0.109760860462,0.137201075577
-150.0,200.0,18.3541768074,0.68052129695,27.5918716078,1.06331452648,18.4261213291,27.7042849229,-0.0719445216521,-0.112413315081
0.0,200.0,26.2219307025,1.48337234541,26.2219307025,1.48337234541,26.2159200735,26.2159200735,0.00601062896816,0.00601062896816
-700.0,200.0,4.09403933603,0.546848784563,30.5838198546,7.24574639546,3.87041575918,27.6208074614,0.223623576845,2.9630123932
100.0,200.0,20.0355038706,0.674656494494,24.5614777699,0.843320618117,20.648682044,25.3279504867,-0.613178173437,-0.766472716796
-600.0,200.0,4.80250461749,0.71559128709,30.6405717153,7.1559128709,4.59628126884,28.5783382288,0.206223348646,2.06223348646
-650.0,200.0,4.69481206116,0.673300319607,33.8811520705,7.78503494546,4.19679653936,28.1228475997,0.498015521798,5.75830447079
-500.0,200.0,5.98348496854,0.9370012824,31.3077143138,6.7932592974,5.69761930531,29.2351882554,0.28586566323,2.07252605842
-550.0,200.0,5.05625994661,0.619280283445,28.6864382261,5.302587427,5.0880484931,28.9586276554,-0.0317885464923,-0.27218942934
-460.0,200.0,6.66589790565,0.559746083069,31.7102900608,3.5208028625,6.29339964827,29.3672760219,0.372498257384,2.34301403895
-480.0,200.0,6.15803439592,0.71519926978,30.5022488622,4.83474706371,5.98198849203,29.3121785519,0.176045903891,1.1900703103
200.0,200.0,12.9228947581,0.715774980721,23.9141812429,1.43154996144,13.2209530202,24.5102977671,-0.298058262076,-0.596116524153
400.0,200.0,6.11959388417,0.562928371682,22.8715363277,2.81464185841,6.18938372434,23.2204855285,-0.0697898401658,-0.348949200829
-250.0,200.0,12.3346152923,0.590730661751,28.5893137595,1.51374732074,12.3571615435,28.6470885283,-0.0225462512336,-0.057774768786
-200.0,200.0,14.6580203008,0.615091982903,27.3844323283,1.23018396581,15.0659363527,28.2002644321,-0.407916051901,-0.815832103801
-320.0,200.0,9.51713877118,0.65413195077,28.9360968458,2.32870974474,9.57215646385,29.1319598317,-0.0550176926661,-0.195862985891
-300.0,200.0,9.82642796996,0.722181646184,27.5897722875,2.3470903501,10.2649378347,29.014929348,-0.438509864781,-1.42515706054
-360.0,200.0,8.42592312124,0.753643609612,29.4675032286,3.19544890475,8.38848738569,29.3087757099,0.0374357355493,0.158727518729
-340.0,200.0,9.10640432805,0.596946342418,29.8415649263,2.32212127201,8.94924748278,29.2302247982,0.157156845266,0.611340128083
-400.0,200.0,7.26729165209,0.564757481362,28.6100251673,2.82378740681,7.42542772802,29.4007055469,-0.158136075927,-0.790680379635
-380.0,200.0,7.86679154473,0.657866114075,29.2928031546,3.03276278589,7.88261569883,29.365752505,-0.0158241541044,-0.0729493504214
-440.0,200.0,6.57626656878,0.656658327216,29.0564127189,3.83488463094,6.63537906449,29.4016296939,-0.0591124957138,-0.345216974969
-420.0,200.0,7.04626826571,0.589684302304,29.6019188323,3.19019207546,7.01121146232,29.4122615259,0.0350568033862,0.189657306319
600.0,200.0,4.03081362365,0.757587231958,22.9236617769,7.57587231958,3.97383294308,22.3538549712,0.0569806805669,0.569806805669
600.0,400.0,7.9591523907,0.567907412308,21.5211266549,1.84569909,8.15391284085,22.1540981179,-0.194760450153,-0.632971462999
400.0,400.0,11.7984076965,0.538706942411,21.6652071197,1.07741388482,12.3920953689,22.8525824645,-0.593687672405,-1.18737534481
1200.0,400.0,4.02882890823,0.710100823737,22.9038146227,7.10100823737,3.84315778018,21.0471033421,0.185671128052,1.85671128052
800.0,400.0,5.60343175532,0.59894965346,20.2907256834,2.9947482673,5.87692993651,21.6582165894,-0.273498181188,-1.36749090594
-1400.0,400.0,3.70901382523,0.52153320274,25.4822318365,6.9103149363,3.46375054015,22.2324933092,0.245263285077,3.24973852727
-1200.0,400.0,4.26559520785,0.558954166702,25.2714776189,5.58954166702,4.03512820313,22.9668075717,0.230467004717,2.30467004717
200.0,400.0,19.0310855753,1.23845235032,23.3059549008,1.5480654379,19.4364609559,23.8126741265,-0.405375380592,-0.50671922574
