Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.72,0.45
kexAB (s^-1),2752,1000
R1 (s^-1),2.41,0.17
R2 (s^-1),27.35,0.47
Red. Chi-sq,1.21
