Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.34,0.19
kexAB (s^-1),1924,238
R1 (s^-1),1.91,0.10
R2 (s^-1),27.57,0.21
Red. Chi-sq,0.52
