Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.90,0.21
kexAB (s^-1),1924,238
R1 (s^-1),1.56,0.11
R2 (s^-1),18.20,0.21
Red. Chi-sq,0.52
