Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.91,12.48
kexAB (s^-1),4384,18562
R1 (s^-1),4.16,1.33
R2 (s^-1),36.80,3.51
Red. Chi-sq,8.69
