Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),7.20,10.27
kexAB (s^-1),4384,18562
R1 (s^-1),5.29,1.17
R2 (s^-1),31.35,3.20
Red. Chi-sq,8.69
