param,fitval,fiterror
pB,0.00643,0.00125
pC,0.00000,0.00000
dwB,2.77639,0.01426
dwC,0.00000,0.00000
kexAB,191.81937,16.10931
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,3.30391,0.00425
R2,18.37757,0.15763
rchi2,25.91208,0.0
