param,fitval,fiterror
pB,0.00643,0.00125
pC,-0.00000,0.00000
dwB,-1.55760,0.03546
dwC,0.00000,0.00000
kexAB,191.81937,16.10931
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,1.23519,0.00788
R2,4.54841,0.25863
rchi2,25.91208,0.0
