Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),3.89,0.08
kexAB (s^-1),419,11
R1 (s^-1),1.41,0.14
R2 (s^-1),17.09,0.21
Red. Chi-sq,0.62
