Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),2.90,0.06
kexAB (s^-1),419,11
R1 (s^-1),1.60,0.12
R2 (s^-1),22.46,0.14
Red. Chi-sq,0.62
