Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.53,0.01
kexAB (s^-1),43,1
R1 (s^-1),4.48,0.05
R2 (s^-1),14.23,0.06
Red. Chi-sq,1.06
