param,fitval,fiterror
pB,0.00636,0.00255
pC,-0.00000,0.00000
dwB,-1.55580,0.03035
dwC,-0.00000,0.00000
kexAB,184.70276,38.70790
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,1.23551,0.00655
R2,4.61818,0.25691
rchi2,17.285,0.0
