Date : 9/25/2019	Time : 13:14:55	
C:\UVWINLAB\DNA01U1.SP	
16.20	0.5760
16.40	0.5761
16.60	0.5761
16.80	0.5762
17.00	0.5762
17.20	0.5762
17.40	0.5763
17.60	0.5764
17.80	0.5764
18.00	0.5766
18.20	0.5766
18.40	0.5767
18.60	0.5767
18.80	0.5767
19.00	0.5769
19.20	0.5770
19.40	0.5771
19.60	0.5770
19.80	0.5772
20.00	0.5773
20.20	0.5774
20.40	0.5776
20.60	0.5778
20.80	0.5778
21.00	0.5779
21.20	0.5779
21.40	0.5781
21.60	0.5782
21.80	0.5781
22.00	0.5784
22.20	0.5784
22.40	0.5784
22.60	0.5786
22.80	0.5789
23.00	0.5789
23.20	0.5790
23.40	0.5791
23.60	0.5793
23.80	0.5796
24.00	0.5797
24.20	0.5797
24.40	0.5800
24.60	0.5801
24.80	0.5801
25.00	0.5804
25.20	0.5806
25.40	0.5808
25.60	0.5809
25.80	0.5811
26.00	0.5812
26.20	0.5815
26.40	0.5816
26.60	0.5818
26.80	0.5819
27.00	0.5823
27.20	0.5824
27.40	0.5826
27.60	0.5828
27.80	0.5831
28.00	0.5832
28.20	0.5833
28.40	0.5837
28.60	0.5837
28.80	0.5840
29.00	0.5842
29.20	0.5844
29.40	0.5847
29.60	0.5848
29.80	0.5850
30.00	0.5853
30.20	0.5854
30.40	0.5857
30.60	0.5860
30.80	0.5861
31.00	0.5866
31.20	0.5866
31.40	0.5870
31.60	0.5873
31.80	0.5874
32.00	0.5877
32.20	0.5880
32.60	0.5885
32.90	0.5888
33.10	0.5888
33.40	0.5897
33.60	0.5901
33.90	0.5906
34.10	0.5910
34.40	0.5914
34.60	0.5917
34.90	0.5923
35.10	0.5923
35.40	0.5933
35.60	0.5934
35.90	0.5941
36.10	0.5945
36.40	0.5953
36.60	0.5957
36.90	0.5962
37.10	0.5962
37.40	0.5975
37.60	0.5979
37.90	0.5987
38.10	0.5989
38.40	0.6000
38.60	0.6002
38.90	0.6010
39.10	0.6010
39.40	0.6024
39.60	0.6030
39.90	0.6039
40.10	0.6046
40.40	0.6057
40.60	0.6064
40.90	0.6074
41.10	0.6074
41.40	0.6091
41.60	0.6099
41.90	0.6112
42.10	0.6118
42.40	0.6130
42.60	0.6136
42.90	0.6147
43.10	0.6147
43.40	0.6158
43.60	0.6162
43.90	0.6179
44.10	0.6187
44.40	0.6204
44.60	0.6214
44.90	0.6228
45.10	0.6228
45.40	0.6260
45.60	0.6268
45.90	0.6281
46.10	0.6291
46.40	0.6304
46.60	0.6314
46.90	0.6329
47.10	0.6329
47.40	0.6354
47.60	0.6360
47.90	0.6373
48.10	0.6380
48.40	0.6392
48.60	0.6401
48.90	0.6418
49.10	0.6418
49.40	0.6434
49.60	0.6443
49.90	0.6451
50.10	0.6463
50.40	0.6471
50.60	0.6480
50.90	0.6492
51.10	0.6492
51.40	0.6507
51.60	0.6513
51.90	0.6521
52.10	0.6526
52.40	0.6535
52.60	0.6540
52.90	0.6548
53.10	0.6548
53.40	0.6562
53.60	0.6568
53.90	0.6574
54.10	0.6578
54.40	0.6583
54.60	0.6586
54.90	0.6593
55.10	0.6593
55.40	0.6599
55.60	0.6604
55.90	0.6612
56.10	0.6613
56.40	0.6619
56.60	0.6622
56.90	0.6627
57.10	0.6627
57.40	0.6632
57.60	0.6636
57.90	0.6639
58.10	0.6643
58.40	0.6646
58.60	0.6648
58.90	0.6652
59.10	0.6652
59.40	0.6658
59.60	0.6661
59.90	0.6665
60.10	0.6666
60.40	0.6669
60.60	0.6674
60.90	0.6675
61.10	0.6676
61.40	0.6683
61.60	0.6685
61.90	0.6688
62.10	0.6693
62.40	0.6694
62.60	0.6694
62.90	0.6699
63.10	0.6699
63.40	0.6704
63.60	0.6706
63.90	0.6710
64.10	0.6711
64.30	0.6714
64.50	0.6714
64.70	0.6714
64.90	0.6719
65.20	0.6723
65.40	0.6725
65.70	0.6728
65.90	0.6731
66.20	0.6736
66.40	0.6736
66.70	0.6738
66.90	0.6739
67.20	0.6743
67.40	0.6743
67.70	0.6748
67.90	0.6748
68.20	0.6754
68.40	0.6758
68.70	0.6760
68.90	0.6759
69.20	0.6764
69.40	0.6763
69.70	0.6765
69.90	0.6765
70.20	0.6771
70.40	0.6769
70.70	0.6771
70.90	0.6774
71.20	0.6776
71.40	0.6776
71.70	0.6781
71.90	0.6781
72.20	0.6784
72.40	0.6785
72.70	0.6788
72.90	0.6790
73.20	0.6792
73.40	0.6794
73.70	0.6795
73.90	0.6795
74.20	0.6797
74.40	0.6797
74.70	0.6799
74.90	0.6802
75.20	0.6803
75.40	0.6804
75.70	0.6807
75.90	0.6807
76.20	0.6809
76.40	0.6810
76.70	0.6812
