Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),20.000,20.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,1
R1 (s^-1),0.98,0.27
R2 (s^-1),18.61,0.36
Red. Chi-sq,6.80
