Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),20.000,20.000
dwB (ppm),4.12,4.12
kexAB (s^-1),10,1
R1 (s^-1),0.64,0.27
R2 (s^-1),12.68,0.35
Red. Chi-sq,6.80
