Fit #1
g10c8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.83,0.08
kexAB (s^-1),105,3
R1 (s^-1),0.12,0.47
R2 (s^-1),28.67,0.45
Red. Chi-sq,1.75
