Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.38,0.15
kexAB (s^-1),4949,521
R1 (s^-1),1.89,0.05
R2 (s^-1),29.70,0.35
Red. Chi-sq,0.42
