Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.76,0.05
kexAB (s^-1),983,33
R1 (s^-1),4.64,0.06
R2 (s^-1),13.40,0.10
Red. Chi-sq,1.63
