Date : 9/26/2019	Time : 12:43:10	
C:\UVWINLAB\DNA41U1.SP	
17.00	0.6083
17.20	0.6084
17.40	0.6087
17.60	0.6086
17.80	0.6087
18.00	0.6089
18.20	0.6089
18.40	0.6093
18.60	0.6094
18.80	0.6097
19.00	0.6097
19.20	0.6101
19.40	0.6101
19.60	0.6103
19.80	0.6104
20.00	0.6105
20.20	0.6107
20.40	0.6108
20.60	0.6109
20.80	0.6113
21.00	0.6116
21.20	0.6117
21.40	0.6118
21.60	0.6121
21.80	0.6122
22.00	0.6127
22.20	0.6128
22.40	0.6133
22.60	0.6136
22.80	0.6139
23.00	0.6141
23.20	0.6144
23.40	0.6147
23.60	0.6150
23.80	0.6152
24.00	0.6156
24.20	0.6158
24.40	0.6162
24.60	0.6165
24.80	0.6169
25.00	0.6169
25.20	0.6174
25.40	0.6175
25.60	0.6179
25.80	0.6183
26.00	0.6186
26.20	0.6187
26.40	0.6190
26.60	0.6194
26.80	0.6196
27.00	0.6200
27.20	0.6203
27.40	0.6208
27.60	0.6213
27.80	0.6214
28.00	0.6219
28.20	0.6222
28.40	0.6225
28.60	0.6229
28.80	0.6234
29.00	0.6238
29.20	0.6242
29.40	0.6246
29.60	0.6250
29.80	0.6256
30.00	0.6259
30.20	0.6265
30.40	0.6269
30.60	0.6272
30.80	0.6278
31.00	0.6284
31.20	0.6288
31.40	0.6294
31.60	0.6299
31.80	0.6303
32.00	0.6308
32.20	0.6315
32.50	0.6324
32.70	0.6327
33.00	0.6335
33.20	0.6343
33.50	0.6353
33.70	0.6356
34.00	0.6367
34.20	0.6374
34.50	0.6386
34.70	0.6391
35.00	0.6401
35.20	0.6408
35.50	0.6419
35.70	0.6425
36.00	0.6435
36.20	0.6445
36.50	0.6456
36.70	0.6462
37.00	0.6473
37.20	0.6480
37.50	0.6494
37.70	0.6503
38.00	0.6514
38.20	0.6520
38.50	0.6534
38.70	0.6539
39.00	0.6548
39.20	0.6557
39.50	0.6571
39.70	0.6579
40.00	0.6591
40.20	0.6603
40.50	0.6617
40.70	0.6617
41.00	0.6639
41.20	0.6649
41.50	0.6660
41.70	0.6666
42.00	0.6675
42.20	0.6683
42.50	0.6698
42.70	0.6698
43.00	0.6721
43.20	0.6730
43.50	0.6745
43.70	0.6751
44.00	0.6764
44.20	0.6770
44.50	0.6782
44.70	0.6782
45.00	0.6801
45.20	0.6811
45.50	0.6821
45.70	0.6825
46.00	0.6835
46.20	0.6842
46.50	0.6852
46.70	0.6852
47.00	0.6865
47.20	0.6873
47.50	0.6883
47.70	0.6887
48.00	0.6896
48.20	0.6900
48.50	0.6907
48.70	0.6907
49.00	0.6919
49.20	0.6923
49.50	0.6932
49.70	0.6937
50.00	0.6941
50.20	0.6947
50.50	0.6951
50.70	0.6952
51.00	0.6965
51.20	0.6967
51.50	0.6973
51.70	0.6978
52.00	0.6983
52.20	0.6988
52.50	0.6994
52.70	0.6994
53.00	0.7002
53.20	0.7005
53.50	0.7011
53.70	0.7014
54.00	0.7018
54.20	0.7019
54.50	0.7026
54.70	0.7026
55.00	0.7035
55.20	0.7036
55.50	0.7041
55.70	0.7046
56.00	0.7050
56.20	0.7054
56.50	0.7059
56.70	0.7059
57.00	0.7066
57.20	0.7068
57.50	0.7074
57.70	0.7075
58.00	0.7079
58.20	0.7082
58.50	0.7087
58.70	0.7087
59.00	0.7094
59.20	0.7096
59.50	0.7100
59.70	0.7103
60.00	0.7108
60.20	0.7111
60.50	0.7114
60.70	0.7114
61.00	0.7118
61.20	0.7123
61.50	0.7126
61.70	0.7128
62.00	0.7132
62.20	0.7135
62.50	0.7140
62.70	0.7140
63.00	0.7148
63.20	0.7151
63.50	0.7156
63.70	0.7159
64.00	0.7161
64.20	0.7165
64.40	0.7166
64.70	0.7169
64.90	0.7171
65.20	0.7173
65.40	0.7175
65.70	0.7177
65.90	0.7180
66.20	0.7185
66.40	0.7188
66.70	0.7191
66.90	0.7196
67.20	0.7198
67.40	0.7199
67.70	0.7202
67.90	0.7202
68.20	0.7216
68.40	0.7217
68.70	0.7218
68.90	0.7222
69.20	0.7221
69.40	0.7222
69.70	0.7222
69.90	0.7222
70.20	0.7230
70.40	0.7231
70.70	0.7235
70.90	0.7236
71.20	0.7238
71.40	0.7240
71.70	0.7241
71.90	0.7241
72.20	0.7246
72.40	0.7247
72.70	0.7252
72.90	0.7253
