Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),0.59,0.06
kexAB (s^-1),1520,264
R1 (s^-1),1.55,0.04
R2 (s^-1),21.41,0.07
Red. Chi-sq,0.99
