Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),4.58,0.26
kexAB (s^-1),112,8
R1 (s^-1),2.13,0.03
R2 (s^-1),14.20,0.05
Red. Chi-sq,0.25
