Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.40,0.25
kexAB (s^-1),263,27
R1 (s^-1),1.60,0.08
R2 (s^-1),35.12,0.12
Red. Chi-sq,1.58
