Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.80,0.05
kexAB (s^-1),4966,485
R1 (s^-1),3.27,0.10
R2 (s^-1),22.64,0.46
Red. Chi-sq,0.60
