Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.47,0.07
kexAB (s^-1),5242,1098
R1 (s^-1),1.93,0.06
R2 (s^-1),41.78,0.44
Red. Chi-sq,1.82
