Fit #1
g10c8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.26,0.49
kexAB (s^-1),3342,663
R1 (s^-1),1.51,0.83
R2 (s^-1),26.71,1.44
Red. Chi-sq,4.48
