Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.030,0.030
dwB (ppm),7.29,17.47
kexAB (s^-1),4436,31607
R1 (s^-1),5.40,1.19
R2 (s^-1),31.82,3.28
Red. Chi-sq,8.97
