Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.030,0.030
dwB (ppm),7.02,21.31
kexAB (s^-1),4436,31607
R1 (s^-1),4.25,1.36
R2 (s^-1),37.28,3.60
Red. Chi-sq,8.97
