Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),4.27,4.27
kexAB (s^-1),2592,4155
R1 (s^-1),2.57,0.06
R2 (s^-1),21.03,0.12
Red. Chi-sq,0.34
