Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.03,0.05
kexAB (s^-1),860,23
R1 (s^-1),1.38,0.05
R2 (s^-1),27.45,0.09
Red. Chi-sq,0.17
