Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.433,0.026
dwB (ppm),3.55,0.07
kexAB (s^-1),886,77
R1 (s^-1),1.19,0.06
R2 (s^-1),18.14,0.09
Red. Chi-sq,0.17
