Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.433,0.026
dwB (ppm),3.03,0.06
kexAB (s^-1),886,77
R1 (s^-1),1.41,0.06
R2 (s^-1),27.47,0.10
Red. Chi-sq,0.17
