Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),4.06,0.15
kexAB (s^-1),2730,289
R1 (s^-1),1.69,0.64
R2 (s^-1),21.57,1.29
Red. Chi-sq,2.82
