Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.96,0.04
kexAB (s^-1),3195,118
R1 (s^-1),1.56,0.07
R2 (s^-1),17.80,0.17
Red. Chi-sq,0.14
