Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.22,6.02
kexAB (s^-1),3693,13846
R1 (s^-1),3.96,1.48
R2 (s^-1),35.96,4.39
Red. Chi-sq,8.93
