Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.27,4.27
kexAB (s^-1),98393,7156644
R1 (s^-1),0.98,0.10
R2 (s^-1),32.22,5.99
Red. Chi-sq,0.18
