Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),2.79,0.02
kexAB (s^-1),1773,46
R1 (s^-1),2.05,0.06
R2 (s^-1),20.74,0.10
Red. Chi-sq,0.14
