Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),9.51,8.65
kexAB (s^-1),6233,18644
R1 (s^-1),1.89,0.11
R2 (s^-1),35.58,0.61
Red. Chi-sq,3.13
