Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),2.69,0.16
kexAB (s^-1),658,86
R1 (s^-1),1.65,0.07
R2 (s^-1),14.55,0.09
Red. Chi-sq,0.21
