Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.81,2.18
kexAB (s^-1),4335,4977
R1 (s^-1),2.94,0.23
R2 (s^-1),26.30,0.80
Red. Chi-sq,2.00
